시도,구군,시설명,소재지,시설용량,물리적,생물학적,고도,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리효율,처리부하량,처리방법,적용신기술,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,준공일,가동개시일,사업비(백만원),방류수 소독방법,수계,지류,세부단위 구역,지역구분,명칭,목표수질(BOD),재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,운영주체,위탁업체명,위탁비용,위탁계약기간(시작),위탁계약기간(종료),중심처리시설,직원총수(명),안전사고건수
부산광역시,기장군,하리,부산광역시 기장군 일광면 원리 308-1번지 일원 ,60,0,0,60,13.2,0,0,13.2,13.2,0,0,13.2,140.2,5.9,144.2,12.2,132.1,6.1,39.941,12.505,12.654,1.068,7028,398,95.8,1.8,오폐수 고도처리,,0,0,0,0,2005-03-04,2005-03-04,340,염소 자외선 오존 기타,낙동강,좌광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,3,13109,0,1.248,민간(대행),(주)영동엔지니어링,50.6,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,당곡,부산광역시 기장군 일광면 화전리585-1 ,50,0,0,50,36.8,0,0,36.8,36.8,0,0,36.8,119,3.2,123.4,11.8,116.4,3.4,33.729,5.746,13.201,1.271,2221,123,97.3,4.3,NPR,,0,0,0,0,2006-12-18,2006-12-18,0,염소 자외선 오존 기타,낙동강,일광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,5.8,25169,0,0.864,민간(대행),(주)한가람,51.3,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,대룡,부산광역시 기장군 장안읍 오리  220-2 ,50,0,0,50,34.5,0,0,34.5,34.5,0,0,34.5,123.5,3.6,128.4,11.8,121.5,3.5,34.735,6.345,13.683,1.322,2265,133,97.1,4.1,BBF-DNS,,0,0,0,0,2010-08-16,2010-08-16,0,염소 자외선 오존 기타,낙동강,효암천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,3.1,13613,0,0.496,민간(대행),(주)한가람,51.3,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,청광,부산광역시 기장군 일광면 청광리139-1 ,50,0,0,50,16.5,0,0,16.5,16.5,0,0,16.5,120.2,3.3,124.3,11.5,118.1,3.4,33.773,5.818,12.549,1.262,2200,120,97.3,1.9,B3,,0,0,0,0,2006-12-18,2006-12-18,0,염소 자외선 오존 기타,낙동강,좌광천,동부경남,500톤 미만 50톤 이상,수영강,Ⅰb,0,3.6,15714,0,1.2,민간(대행),(주)한가람,51.3,2020-01-01,2020-12-31,,1,0
대구광역시,동구,안심,대구광역시 동구 용계동 828-2 ,47000,0,0,47000,39782,0,0,39782,35954.7,0,0,35954.7,175.3,0.5,91.3,4.9,169.8,0.6,42.711,8.409,4.715,0.053,97984,47,99.7,6952.9,A2O,,0,0,0,0,2002-06-15,2002-06-16,72483,,낙동강,금호강,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,2,1942.8,8317440,38.1,0.29,공기업,대구환경공단,2540,2018-02-01,2023-01-31,,14,0
대구광역시,서구,달서천,대구광역시 서구 비산동 3016 ,400000,0,0,400000,193482.6,0,0,193482.6,160832,0,0,160832,74.9,2.5,70.1,9.5,150.7,1.6,26.104,8.929,3.79,0.106,0,4,96.7,14013.6,"표준활성슬러지법,A2O",슬러지순환형 초고속응집침전,829.7,0,1568.2,0,1987-07-12,1987-07-12,198906,오존 ,낙동강,달서천,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,4.3,9761,40787776,420.6,0.318,공기업,대구환경공단,14049,2018-02-01,2023-01-31,,73,0
대구광역시,서구,북부,대구광역시 서구 비산동 3442-3 ,170000,0,0,170000,103194.7,0,0,103194.7,96344.1,0,0,96344.1,141.7,1.3,73.6,5.5,122.3,1.4,36.013,8.192,3.708,0.044,65407,143,99.1,14491.1,"표준활성슬러지법,A2O",,0,0,0,0,1997-12-02,1997-12-02,102627,자외선 ,낙동강,달서천,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,27.4,3541.1,11228206,969.8,0.146,공기업,대구환경공단,6716,2018-02-01,2023-01-31,,40,0
대구광역시,북구,신천,대구광역시 북구 서변동 1290-4 ,680000,0,0,680000,504279.1,0,0,504279.1,485947,0,0,485947,150.3,0.7,64.7,5.3,128.3,0.5,33.112,9.234,3.57,0.04,0,145,99.5,75414.2,"표준활성슬러지법,A2O",,0,0,0,330,1993-06-30,1993-06-30,301599,염소 ,낙동강,금호강,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,24.8,11096.7,36458869,2747.6,0.094,공기업,대구환경공단,16398,2018-02-01,2023-01-31,,68,0
대구광역시,수성구,지산,대구광역시 수성구 무학로 112 ,33750,0,0,33750,22650.4,0,0,22650.4,20510.8,0,0,20510.8,230.6,0.5,119,5.5,237,0.6,44.093,7.848,5.222,0.041,131080,42,99.8,5212.7,A2O,,0,0,0,0,2002-06-15,2002-06-15,58894,염소 ,낙동강,범어천,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,0.3,1245.2,5418993,4.3,0.332,공기업,대구환경공단,2748,2018-02-01,2023-01-31,,20,0
대구광역시,달서구,서부,대구광역시 달서구 달서대로 210 대구환경공단 서부사업소 대구광역시 달서구 대천동 770,520000,0,0,520000,388019.6,0,0,388019.6,376897.1,0,0,376897.1,215.5,0.7,116.7,6.2,245.8,1,52.574,9.145,5.571,0.046,64659,62,99.7,83367.4,"표준활성슬러지법,A2O",,1085.8,0,0,0,1997-12-15,1997-12-15,265377,염소 ,낙동강,대명천,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,27.5,10838.6,34327490,2977.6,0.114,공기업,대구환경공단,15991,2018-02-01,2023-01-31,,59,0
대구광역시,달성군,현풍,대구광역시 달성군 현풍서로 147   ,23000,0,0,23000,28007.2,0,0,28007.2,27976.9,0,0,27976.9,145.3,2,102.1,13.6,137.2,1.9,31.918,11.225,2.762,0.025,80210,8,98.6,4012.5,A2O,,0,0,0,0,2009-08-31,2009-09-01,63251,자외선 ,낙동강,차천,금호강,500톤 이상(Ⅱ지역),낙동고령,Ⅱ,1.9,2771.1,11868679,53.2,0.533,공기업,대구환경공단,6323,2018-02-01,2023-01-31,,49,0
대구광역시,달성군,가창 삼산,대구 달성군 가창면  옥분리 670-9 ,470,0,0,470,411.6,0,0,411.6,411.6,0,0,411.6,217.5,2.2,45,5.1,126.3,0.4,28.774,9.025,4.059,1.029,8121,39,99,88.6,HANT,,0,0,0,0,2012-10-30,2012-11-01,6600,염소 자외선 오존 기타,낙동강,신천,금호강,500톤 미만 50톤 이상,금호강,Ⅲ,0,41,179102,0,0.546,민간(대행),(주)대일환경기술,205,2020-05-01,2025-12-31,가창 삼산,3,0
