시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
40,0,40,34.9,0.0,34.9,34.9,0.0,34.9,73.5,13.6,93.8,5.4,31.385,13.217,6.88,1.509,169167,243,4.1,0.0,0.0,0.0,0.0,395.1,1,0,0,0.0,5.1,22159.0,0.0,0.797,0.0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,4870,4870,1,1,1,1,95.2
100,0,100,87.0,87.0,0.0,86.0,86.0,0.0,99.8,10.4,158.4,3.1,51.902,11.711,5.034,0.89,97087,51,17.8,0.0,0.0,0.0,0.0,1807.0,0,0,1,36.6,4.1,11286.0,1.5,0.287,62.3,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,4231,4231,1,1,1,1,98.7
460,0,460,243.9,0.0,243.9,243.9,0.0,243.9,73.3,11.3,130.8,5.7,44.393,10.4,3.952,1.079,69423,73,30.4,0.0,0.0,0.0,0.0,1550.0,0,1,1,0.0,2.1,9273.0,0.0,0.048,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3545,3545,1,1,1,1,96.5
110,0,110,99.6,0.0,99.6,99.6,0.0,99.6,130.8,7.2,150.6,2.0,46.815,7.723,4.725,0.706,162264,147,13.0,0.0,0.0,0.0,0.0,2807.0,0,1,1,0.0,5.0,21795.0,0.0,0.275,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3300,3300,1,1,1,1,98.3
1700,0,1700,1033.5,0.0,1033.5,1005.2,0.0,1005.2,52.4,5.6,86.2,1.0,32.007,8.564,3.761,0.372,198915,581,135.0,0.0,0.0,0.0,0.0,19006.0,0,1,1,0.0,110.5,482570.0,0.0,0.603,84.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,5126,5125,0,1,0,0,98.9
20,0,20,4.7,0.0,4.7,4.7,0.0,4.7,81.2,6.8,111.1,1.5,38.304,19.301,4.168,1.696,27615,30,0.6,0.0,0.0,0.0,0.0,171.0,1,0,1,0.0,2.5,11060.0,0.0,2.951,21.0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,9145,9145,1,0,1,1,98.8
80,0,80,63.9,0.0,63.9,63.9,0.0,63.9,63.6,8.2,94.3,5.5,29.713,11.925999999999998,3.367,1.301,422885,552,7.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,6.8,29749.0,0.0,0.584,14.4,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,5874,5874,1,1,1,1,95.8
130000,0,130000,133294.0,0.0,133294.0,129411.7,0.0,129411.7,107.1,12.7,234.8,6.9,59.729,12.970999999999998,6.591,0.55,247137,48,31405.6,336.1,0.0,680.7,97.2,108257.0,1,0,1,0.2,6261.8,27282122.0,14.2,0.265,0.0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,9863,9802,0,1,0,0,96.8
35,0,35,23.5,0.0,23.5,23.5,0.0,23.5,62.9,6.8,59.6,3.0,28.516,10.607,3.092,1.046,3556,116,1.6,0.0,0.0,0.0,0.0,480.0,0,1,1,0.0,3.6,15932.0,0.0,0.852,28.4,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,6605,6605,1,1,1,1,97.0
600,0,600,290.2,0.0,290.2,290.2,0.0,290.2,82.3,8.1,122.8,3.5,39.629,6.573,4.373,0.475,156971,28,45.6,0.0,0.0,0.0,0.0,16211.0,0,1,1,0.0,59.7,260635.0,0.0,1.127,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3472,3472,0,1,0,0,97.6
200,0,200,155.3,0.0,155.3,155.3,0.0,155.3,121.0,10.7,118.0,6.1,37.36,12.64,3.395,1.031,104904,117,27.6,0.0,0.0,0.0,0.0,7616.0,0,0,1,0.0,29.7,129559.0,0.0,1.047,26.1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,526,428,1,1,1,1,96.6
140,0,140,133.1,0.0,133.1,133.1,0.0,133.1,103.6,6.9,138.6,2.1,28.0,6.18,3.487,0.767,97151,56,21.9,0.0,0.0,0.0,0.0,940.0,0,1,1,0.0,8.6,37629.0,0.0,0.355,38.2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,5469,5469,1,1,1,1,99.1
5000,0,5000,3114.2,0.0,3114.2,2952.5,0.0,2952.5,83.8,4.8,118.7,1.8,34.554,5.42,3.447,0.0819999999999999,167216,18,672.7,0.0,0.0,0.0,0.0,28313.0,1,0,1,0.0,402.3,1756909.0,0.0,0.747,2763.2,9,0,0,1,0,1,0,1,0,0,0,1,0,0,1,4608,5127,0,1,0,0,99.4
4000,0,4000,3185.0,0.0,3185.0,2789.2,0.0,2789.2,99.8,5.9,127.1,2.5,29.323,5.335,3.307,0.031,109322,30,403.0,0.0,0.0,0.0,0.0,28759.0,1,0,1,0.0,225.3,983906.0,0.0,0.4429999999999999,971.0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,6037,6037,0,1,0,0,98.7
700,0,700,502.7,0.0,502.7,502.9,0.0,502.9,125.5,3.4,269.5,1.3,52.552,4.761,5.113,0.091,86057,0,123.2,0.0,0.0,0.0,0.0,4718.0,0,1,1,0.0,45.7,199628.0,0.0,0.498,550.0,8,0,0,1,1,1,0,1,0,0,0,1,1,0,1,5221,5221,0,1,0,0,99.3
