,시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
2731,40,0,40,40.0,0.0,40.0,40.0,0.0,40.0,46.8,4.5,34.6,6.7,59.0,4.1,49.249,12.231,8.316,1.467,7383,21,1.7,0.0,0.0,0.0,0.0,308.0,0,1,1,0.0,3.7,16255.0,0.0,0.51,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8002,8002,1,1,1,1,90.4
2732,40,0,40,23.2,0.0,23.2,23.2,0.0,23.2,130.1,6.3,123.6,15.7,42.7,3.7,57.407,13.612,4.779,1.203,31250,35,2.9,0.0,0.0,0.0,0.0,1186.0,0,1,1,0.0,1.6,6950.0,0.0,0.376,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,4352,4168,1,1,1,1,95.2
2733,40,0,40,22.9,0.0,22.9,22.9,0.0,22.9,46.6,4.2,33.9,6.8,58.1,3.3,50.037,12.278,6.496,1.481,7517,17,1.0,0.0,0.0,0.0,0.0,393.0,0,1,1,0.0,0.8,3448.0,0.0,0.1889999999999999,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,7307,7307,1,1,1,1,91.0
2734,40,0,40,40.0,0.0,40.0,40.0,0.0,40.0,39.1,4.3,33.6,6.7,64.6,3.7,59.827,11.719,8.586,1.54,20167,22,1.4,0.0,0.0,0.0,0.0,443.0,0,1,1,0.0,0.2,999.0,0.0,0.031,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,6129,6129,1,1,1,1,89.0
2735,40,0,40,22.8,0.0,22.8,22.8,0.0,22.8,45.1,4.3,52.3,8.3,55.1,5.5,43.06,10.804,5.339,1.3259999999999998,17083,17,0.9,0.0,0.0,0.0,0.0,460.0,0,1,1,0.0,4.0,17363.0,0.0,0.955,2.9,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,5214,5214,1,1,1,1,90.5
2736,30,0,30,30.0,0.0,30.0,30.0,0.0,30.0,45.5,4.2,32.5,6.6,54.8,3.8,48.525,10.214,7.624,1.22,26500,22,1.2,0.0,0.0,0.0,0.0,393.0,0,1,1,0.0,1.3,5536.0,0.0,0.2319999999999999,2.2,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,6946,6946,1,1,1,1,90.8
2737,30,0,30,19.9,0.0,19.9,19.9,0.0,19.9,55.2,6.8,41.0,8.7,37.6,4.1,45.16,12.934,6.763999999999999,1.3969999999999998,13083,13,1.0,0.0,0.0,0.0,0.0,329.0,0,1,1,0.0,5.0,21815.0,0.0,1.3730000000000002,2.2,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,4637,4462,1,1,1,1,87.7
2738,30,0,30,18.3,0.0,18.3,18.3,0.0,18.3,63.6,4.4,62.2,9.9,61.3,4.5,54.736,12.752,5.329,1.233,13417,14,1.1,0.0,0.0,0.0,0.0,992.0,0,1,1,0.0,7.8,34021.0,0.0,2.335,2.2,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,3920,3872,1,1,1,1,93.1
2739,30,0,30,18.0,0.0,18.0,18.0,0.0,18.0,39.1,4.5,52.6,8.8,39.1,3.3,41.815,9.981,5.394,0.889,4542,11,0.6,0.0,0.0,0.0,0.0,324.0,0,1,1,0.0,1.8,7668.0,0.0,0.536,2.2,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,6582,6582,1,1,1,1,88.5
2740,28,0,28,15.3,0.0,15.3,15.3,0.0,15.3,42.6,4.2,48.0,7.6,36.5,3.9,21.688,6.72,3.24,0.982,15833,13,0.6,0.0,0.0,0.0,0.0,410.3,0,1,1,0.0,2.9,12761.0,0.0,1.0490000000000002,2.0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,6098,6098,1,1,1,1,90.1
2741,25,0,25,15.1,0.0,15.1,15.1,0.0,15.1,47.5,4.8,35.8,7.1,59.9,5.4,46.081,11.616,7.644,1.062,27750,30,0.6,0.0,0.0,0.0,0.0,1027.0,0,1,1,0.0,3.9,17092.0,0.0,1.422,1.8,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,3978,3872,1,1,1,1,89.9
2742,25,0,25,15.4,0.0,15.4,15.4,0.0,15.4,60.9,4.3,62.5,8.8,61.8,5.0,33.345,12.675999999999998,4.539,1.306,16667,15,0.9,0.0,0.0,0.0,0.0,623.0,0,1,1,0.0,6.3,27511.0,0.0,2.244,1.8,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,2229,2215,1,1,1,1,92.9
2743,20,0,20,13.7,0.0,13.7,13.7,0.0,13.7,44.3,4.5,68.3,9.6,59.3,5.4,45.658,11.961,4.601,1.194,6133,7,0.5,0.0,0.0,0.0,0.0,339.0,0,1,1,0.0,1.3,5741.0,0.0,0.526,1.4,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,4569,4462,1,1,1,1,89.8
2744,20,0,20,13.4,0.0,13.4,13.4,0.0,13.4,42.5,4.0,50.7,8.1,43.6,3.7,44.868,10.352,5.055,1.0659999999999998,6315,10,0.5,0.0,0.0,0.0,0.0,280.0,0,1,1,0.0,5.8,25314.0,0.0,2.363,1.4,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8369,8369,1,1,1,1,90.6
2745,20,0,20,13.1,0.0,13.1,13.1,0.0,13.1,69.5,7.0,71.6,11.6,54.0,6.1,47.44,11.986,7.91,1.156,18500,12,0.8,0.0,0.0,0.0,0.0,329.0,0,1,1,0.0,2.2,9823.0,0.0,0.944,1.4,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,4549,4462,1,1,1,1,89.9
2746,20,0,20,20.0,0.0,20.0,20.0,0.0,20.0,33.3,3.7,47.8,8.1,43.5,5.0,59.238,12.568,4.831,1.229,11333,8,0.6,0.0,0.0,0.0,0.0,479.0,0,1,1,0.0,0.3,1392.0,0.0,0.087,1.4,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,5624,5624,1,1,1,1,88.9
2747,20,0,20,20.0,0.0,20.0,20.0,0.0,20.0,37.1,4.2,47.9,8.0,33.3,3.0,42.901,10.324000000000002,5.653,0.762,6208,9,0.7,0.0,0.0,0.0,0.0,100.0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.4,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8676,8706,1,1,1,1,88.7
2748,20,0,20,20.0,0.0,20.0,20.0,0.0,20.0,39.0,3.1,47.9,8.3,63.8,5.7,42.732,9.112,5.252999999999999,1.375,8142,12,0.7,0.0,0.0,0.0,0.0,260.0,0,1,1,0.0,0.4,1617.0,0.0,0.1009999999999999,1.4,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,5624,5624,1,1,1,1,92.1
