가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
442,60,50.7,50.7,1,0,1,7.0,2.8,6.71,0.634,53,50.7,1,1,1,1,5096.0,0,0.0,0.0,0,1,0,0,1,1,1,1,60,0,0.0,0.0,0.0,0.0,1,0,37.0,91.0,114.7,36.635,3.957,79002,50.7,0.0,0.0,498,1,0,0,0,6.4,7.5,32570.0,0.8059999999999999
470,30,13.4,13.4,0,1,0,6.7,3.5,9.773,1.395,254,13.4,1,1,1,1,1531.0,0,0.0,0.0,0,1,0,1,0,0,0,0,30,0,0.0,0.0,0.0,0.0,1,1,5.1,65.4,1553.7,34.21,3.848,240417,13.4,0.0,0.0,525,1,0,1,0,1.4,3.1,13678.0,1.277
3282,350,318.7,318.7,0,1,0,7.1,3.8,9.57,1.223,235,318.7,1,1,1,1,0.0,0,0.0,0.0,0,1,0,1,0,0,0,0,350,0,0.0,0.0,0.0,0.0,0,1,0.0,84.4,153.5,28.154,2.638,576301,318.7,0.0,0.0,3282,1,0,0,0,57.5,20.1,87578.0,0.345
12479,0,0.0,0.0,1,0,0,4.8,2.4,6.392,0.026,6,549.2,0,0,0,1,2502.0,1000,549.2,615.8,1,0,0,0,1,0,1,1,1000,0,0.0,0.0,0.0,0.0,1,0,931.0,110.9,121.4,41.587,4.611000000000001,112038,615.8,3.0,1.7,12480,0,1,1,8,99.4,173.5,744488.0,1.702
6118,90,80.8,80.8,0,1,1,7.6,1.9,10.958,0.968,54,80.8,1,1,1,1,577.0,0,0.0,0.0,1,0,1,0,1,1,1,0,90,0,0.0,0.0,0.0,0.0,1,0,0.0,105.8,167.9,40.121,5.18,156154,80.8,0.0,0.0,6118,1,0,0,0,12.1,7.9,34294.0,0.5329999999999999
6954,65,79.8,79.8,0,1,0,6.4,4.6,10.204,0.985,11,79.8,1,1,1,1,223.0,0,0.0,0.0,0,1,0,1,0,0,0,0,65,0,0.0,0.0,0.0,0.0,1,0,0.0,84.2,112.4,37.144,3.87,91183,79.8,0.0,0.0,6954,1,0,0,0,9.1,11.1,48313.0,0.76
2925,150,125.1,125.1,1,0,0,2.0,0.5,5.631,0.353,0,125.1,1,1,1,1,329.9,0,0.0,0.0,1,0,0,0,1,0,1,1,150,0,0.0,0.0,0.0,0.0,1,0,0.0,259.9,859.9,69.618,6.443,109792,125.1,0.0,0.0,2925,1,0,0,0,35.5,12.6,54966.0,0.551
7792,3000,2521.8,2804.1,0,1,1,5.2,1.5,4.255,0.0409999999999999,75,2521.8,0,0,0,1,15973.0,0,0.0,0.0,0,1,1,0,1,1,1,0,3000,0,0.0,0.0,0.0,0.0,0,1,0.0,89.0,123.2,29.992,2.968,103559,2804.1,0.0,0.0,7841,0,1,1,0,372.5,138.7,605563.0,0.301
548,380,230.0,230.0,0,1,1,9.1,6.2,10.503,0.939,568,230.0,1,1,1,1,8102.0,0,0.0,0.0,1,0,0,0,1,1,0,0,380,0,0.0,0.0,0.0,0.0,1,0,24.1,102.0,146.7,33.852,4.065,776154,230.0,0.0,0.0,632,1,0,0,0,43.9,31.5,137637.0,0.7509999999999999
7809,220,192.5,192.5,0,1,1,8.3,5.5,13.619000000000002,1.409,54,192.5,1,1,1,0,1952.0,0,0.0,0.0,1,0,1,0,1,1,1,0,220,0,0.0,0.0,0.0,0.0,1,0,17.0,97.8,144.9,44.257,5.267,208302,192.5,0.0,0.0,7809,1,0,0,0,31.3,29.7,129832.0,0.846
5917,45,28.3,28.3,0,1,0,5.7,4.2,9.327,0.905,7,28.3,1,1,1,1,307.9,0,0.0,0.0,0,1,0,1,0,0,0,0,45,0,0.0,0.0,0.0,0.0,1,0,0.0,67.7,95.7,33.049,3.427,68854,28.3,0.0,0.0,5917,1,0,1,0,2.6,9.8,42963.0,1.904
11933,330000,253446.4,282552.5,0,0,1,8.7,3.6,8.645,0.625,35,315231.4,0,1,0,1,465100.0,122000,61785.0,69131.0,0,1,0,0,0,0,1,0,452000,0,247.0,0.0,0.0,0.0,1,1,0.0,80.5,180.0,43.262,4.436,68186,351683.5,3482.8,25.5,11933,0,1,0,34,53322.8,13642.4,44365278.0,0.177
5393,100,55.7,55.7,0,1,1,11.7,5.0,13.022,0.879,753,55.7,1,1,1,1,1426.0,0,0.0,0.0,0,0,1,0,1,0,0,1,100,0,0.0,0.0,0.0,0.0,1,0,0.0,99.3,185.0,36.782,5.276,130519,55.7,0.0,0.0,5389,1,0,0,0,8.3,4.4,19311.0,0.435
